Player,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Altura,Pie,Valor de mercado
Gift Orban,Lyon,21.0,2002.0,5.3,8.0,1.52,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,"1,78m",Derecho,15.00 
Romain Perraud,Nice,25.0,1997.0,4.1,5.0,1.22,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.49,1.0,1.0,0.0,0.0,0.0,0.0,"1,73m",Izquierdo,5.00 
Emmanuel Sabbi,Le Havre,25.0,1997.0,17.6,44.0,2.5,26.0,1.0,5.0,5.0,7.0,0.0,6.0,0.34,3.0,0.0,1.0,1.0,1.0,0.0,"1,78m",Derecho,2.50 
Amin Sarr,Lyon,22.0,2001.0,1.1,3.0,2.73,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,88m",Derecho,4.00 
Issa Soumare,Le Havre,22.0,2000.0,2.6,7.0,2.66,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,82m",Derecho,0.8
Issiaga Sylla,Montpellier,29.0,1994.0,16.2,31.0,1.92,22.0,5.0,1.0,2.0,0.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,"1,80m",Izquierdo,2.50 
Vitinha,Marseille,23.0,2000.0,10.3,37.0,3.61,23.0,0.0,5.0,3.0,4.0,2.0,6.0,0.59,3.0,0.0,1.0,2.0,0.0,0.0,"1,78m",Derecho,14.00 
Elye Wahi,Montpellier,20.0,2003.0,0.2,1.0,6.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,84m",Derecho,35.00 
Elye Wahi,Lens,20.0,2003.0,18.8,41.0,2.18,23.0,1.0,3.0,6.0,5.0,3.0,3.0,0.16,1.0,1.0,0.0,1.0,0.0,0.0,"1,84m",Derecho,35.00 
Kelvin Yeboah,Montpellier,23.0,2000.0,3.1,9.0,2.93,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,85m",Derecho,4.00 
